package.name,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,host.specialist
nova-novncproxy virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nova-scheduler,1,NA,NA,NA,NA,NA,NA,999,NA
nova-spicehtmlproxy virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nova-spiceproxy virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nova-volume,1,NA,NA,NA,NA,NA,NA,999,NA
nova-xvpvncproxy virtual,1,NA,NA,NA,NA,NA,NA,999,NA
novena-eeprom,1,NA,NA,NA,NA,NA,NA,999,NA
novnc,1,NA,NA,NA,NA,NA,NA,999,NA
noweb,1,NA,NA,NA,NA,NA,NA,999,NA
nowebm,1,NA,NA,NA,NA,NA,NA,999,NA
nowhere,1,NA,NA,NA,NA,NA,NA,999,NA
npapi-sdk-dev,1,NA,NA,NA,NA,NA,NA,999,NA
npm,2,5534,6363.6696696697,1784.1025353674,214,-0.4650347462,0.214,999,0
npmdeb,1,NA,NA,NA,NA,NA,NA,999,NA
nqc,1,NA,NA,NA,NA,NA,NA,999,NA
nqp,1,NA,NA,NA,NA,NA,NA,999,NA
nrefactory-samples,1,NA,NA,NA,NA,NA,NA,999,NA
nrss,1,NA,NA,NA,NA,NA,NA,999,NA
ns,1,NA,NA,NA,NA,NA,NA,999,NA
nsca,1,NA,NA,NA,NA,NA,NA,999,NA
nsca-client,1,NA,NA,NA,NA,NA,NA,999,NA
nsca-ng-client,1,NA,NA,NA,NA,NA,NA,999,NA
nsca-ng-server,1,NA,NA,NA,NA,NA,NA,999,NA
nscd,1,NA,NA,NA,NA,NA,NA,999,NA
nscd virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nsd,1,NA,NA,NA,NA,NA,NA,999,NA
ns-dbg,1,NA,NA,NA,NA,NA,NA,999,NA
ns-doc,1,NA,NA,NA,NA,NA,NA,999,NA
ns-examples,1,NA,NA,NA,NA,NA,NA,999,NA
nsis,1,NA,NA,NA,NA,NA,NA,999,NA
nsis-common,1,NA,NA,NA,NA,NA,NA,999,NA
nsis-doc,1,NA,NA,NA,NA,NA,NA,999,NA
nsis-pluginapi,1,NA,NA,NA,NA,NA,NA,999,NA
nslcd,1,NA,NA,NA,NA,NA,NA,999,NA
nslcd-utils,1,NA,NA,NA,NA,NA,NA,999,NA
nslint,1,NA,NA,NA,NA,NA,NA,999,NA
nslu-utils,1,NA,NA,NA,NA,NA,NA,999,NA
nsnake,1,NA,NA,NA,NA,NA,NA,999,NA
nsscache,1,NA,NA,NA,NA,NA,NA,999,NA
nss-passwords,1,NA,NA,NA,NA,NA,NA,999,NA
nss-updatedb,1,NA,NA,NA,NA,NA,NA,999,NA
nstreams,1,NA,NA,NA,NA,NA,NA,999,NA
ntdb-tools,1,NA,NA,NA,NA,NA,NA,999,NA
nted,1,NA,NA,NA,NA,NA,NA,999,NA
nted-doc,1,NA,NA,NA,NA,NA,NA,999,NA
ntfs-config,4,7216,6462.5422088755,1119.9534822023,686.5,0.6727581128,0.6865,999,0
ntfs-modules,2,8402,6400.6626626627,1853.4323408751,769,1.0798005912,0.769,999,0
ntfs-modules virtual,1,NA,NA,NA,NA,NA,NA,999,NA
ntlmaps,1,NA,NA,NA,NA,NA,NA,999,NA
ntop,2,8952,6485.5835835836,1779.7126900962,869,1.3858508905,0.869,999,0
ntop-data,2,8952,6440.3433433433,1776.8783550402,886,1.4135220059,0.886,999,0
ntop-dbg,1,NA,NA,NA,NA,NA,NA,999,NA
ntopng,1,NA,NA,NA,NA,NA,NA,999,NA
ntopng-data,1,NA,NA,NA,NA,NA,NA,999,NA
ntopng-dbg,1,NA,NA,NA,NA,NA,NA,999,NA
ntp-doc,1,NA,NA,NA,NA,NA,NA,999,NA
ntpstat,1,NA,NA,NA,NA,NA,NA,999,NA
ntrack-module,1,NA,NA,NA,NA,NA,NA,999,NA
ntrack-module-rtnetlink,1,NA,NA,NA,NA,NA,NA,999,NA
nttcp,1,NA,NA,NA,NA,NA,NA,999,NA
nuapplet,1,NA,NA,NA,NA,NA,NA,999,NA
nuauth,1,NA,NA,NA,NA,NA,NA,999,NA
nuauth-extra,1,NA,NA,NA,NA,NA,NA,999,NA
nuauth-log-mysql,1,NA,NA,NA,NA,NA,NA,999,NA
nuauth-log-pgsql,1,NA,NA,NA,NA,NA,NA,999,NA
nuauth-utils,1,NA,NA,NA,NA,NA,NA,999,NA
nufw,1,NA,NA,NA,NA,NA,NA,999,NA
nuget,1,NA,NA,NA,NA,NA,NA,999,NA
nuitka,1,NA,NA,NA,NA,NA,NA,999,NA
nullfs-modules,1,NA,NA,NA,NA,NA,NA,999,NA
nullfs-modules virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nullidentd,1,NA,NA,NA,NA,NA,NA,999,NA
nullmailer,2,6090,6421.1591591592,1855.5461062443,584.5,-0.1784699168,0.5845,999,0
